"generic_code","generic_description"
"VITBT","VITAMIN B-COMPLEX + TAURINE + FOLIC ACID"
"VITBV","VITAMIN B COMPLEX + VITAMIN C + CALCIUM + MAGNESIUM + ZINC"
"VITBX","VITAMIN B COMPLEX"
"VITCB","VB1+VB6+V12+VC+BUCLIZINE HCI"
"VITCF","VITAMIN B COMPLEX + CHOLINE + FOLIC ACID"
"VITD2","VITAMIN D2"
"VITE1","VITEX NEGUNDO"
"VITEX","VITEX NEGUNDO L. (LAGUNDI LEAF)"
"VITFS","VITAMIN B COMPLEX + VITAMIN C + FERROUS SULFATE"
"VITGR","VITAMIIN C (AS ASCORBATE) + GRAPESEED EXTRACT + CITRUS BIOFLAVANOIDS COMPLEX + L-GLUTATHIONE + ALPHA"
"VOGLI","VOGLIBOSE"
"VORIC","VORICONAZOLE"
"VSIN1","VASOPRESSIN"
"WARF1","WARFARIN (AS SODIUM)"
"WARF2","WARFARIN SODIUM (AS CLATHRATE)"
"WARFA","WARFARIN"
"WATE1","WATER-SOLUBLE VITAMIN"
"WATER","WATER FOR INJECTION (TRIPLE DISTILLED WATER)"
"XYLOM","XYLOMETAZOLINE HYDROCHLORIDE"
"YELLO","YELLOW FEVER VACCINE"
"YERBA","YERBA BUENA"
"ZALCI","ZALCITABINE"
"ZANAM","ZANAMIVIR"
"ZIDOV","ZIDOVUDINE"
"ZINC1","ZINC (AS SULFATE MONOHYDRATE)"
"ZINC2","ZINC SULFATE"
"ZINC3","ZINC OXIDE + BENZOIC ACID + SULFUR + SALICYLIC ACID"
"ZINCG","ZINC GLUCONATE"
"ZINCM","ZINC SULFATE MONOHYDRATE"
"ZINCX","ZINC"
"ZOLD1","ZOLDIPEM TARTATE"
"ZOLED","ZOLEDRONIC ACID (AS ZOLEDRONIC ANHYDROUS)"
"ZOLMI","ZOLMITRIPTAN"
"ZOLPI","ZOLPIDEM"
"ZOLTA","ZOLPIDEM TARTATE"
