"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"ABORLAN RURAL HEALTH UNIT","ABORLAN MUNICIPAL HEALTH OFFICE","DOH000000000000195","17","1753","PALAWAN","175301","ABORLAN","RHU","P42026067"
"BARANGKA ILAYA HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - BARANGKA ILAYA HEALTH CENTER","DOH000000000000196","13","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026257"
"CONCEPCION DOS HEALTH CENTER",,"DOH000000000000197","13","1374","NCR   SECOND DISTRICT","137402","CITY OF MARIKINA","RHU",
"MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER",,"DOH000000000000199","13","1376","NCR   FOURTH DISTRICT","137606","PATEROS","RHU",
"PEOPLES HEALTH CENTER AND LYING IN CLINIC","CITY GOVERNMENT OF MANDALUYONG - PEOPLE'S HEALTH CENTER","DOH000000000000200","13","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026249"
"QUINTIN DE BORJA HEALTH CENTER",,"DOH000000000000201","13","1376","NCR   FOURTH DISTRICT","137606","PATEROS","RHU",
"TAÃ‘ONG HEALTH CENTER","CITY GOVERNMENT OF MARIKINA - TA?ONG HEALTH CENTER ","DOH000000000000202","13","1374","NCR   SECOND DISTRICT","137402","CITY OF MARIKINA","RHU","P93026530"
"TAGBITAN-AG BARANGAY HEALTH STATION",,"DOH000000000000203","11","1123","DAVAO DEL NORTE","112317","ISLAND GARDEN CITY OF SAMAL","BHS",
"KAPUTIAN DISTRICT HEALTH OFFICE","KAPUTIAN RURAL HEALTH UNIT","DOH000000000000204","11","1123","DAVAO DEL NORTE","112317","ISLAND GARDEN CITY OF SAMAL","RHU","P11025462"
"MABINI RURAL HEALTH UNIT AND BIRTHING CENTER","RURAL HEALTH UNIT OF MABINI","DOH000000000000206","07","0712","BOHOL","071231","MABINI","RHU","P07024881"
"DEL PILAR BARANGAY HEALTH STATION",,"DOH000000000000207","11","1125","DAVAO ORIENTAL","112508","MANAY","BHS",
"FLORIDA BARANGAY HEALTH STATION",,"DOH000000000000208","11","1123","DAVAO DEL NORTE","112305","KAPALONG","BHS",
"OMPAO BARANGAY HEALTH STATION",,"DOH000000000000209","11","1125","DAVAO ORIENTAL","112511","TARRAGONA","BHS",
"NAPAOD BARANGAY HEALTH STATION",,"DOH000000000000210","05","0516","CAMARINES NORTE","051606","LABO","BHS",
"BALANGA RURAL HEALTH UNIT II","BALANGA RURAL HEALTH UNIT II","DOH000000000000211","03","0308","BATAAN","030803","CITY OF BALANGA (Capital)","RHU","P03024332"
"BATO RURAL HEALTH UNIT I","BATO MUNICIPAL HEALTH OFFICE","DOH000000000000212","08","0837","LEYTE","083707","BATO","RHU","P08025107"
"SCIENCE CITY OF MUÑOZ HEALTH OFFICE I",,"DOH000000000000213","03","0349","NUEVA ECIJA","034917","SCIENCE CITY OF MUÃƒâ€šÃ‚ÂOZ","RHU",
"SAN FRANCISCO RURAL HEALTH UNIT","SAN FRANCISCO RURAL HEALTH UNIT","DOH000000000000215","08","0864","SOUTHERN LEYTE","086413","SAN FRANCISCO","RHU","P08025177"
"ROSARIO RURAL HEALTH UNIT","ROSARIO RHU ","DOH000000000000216","08","0848","NORTHERN SAMAR","084816","ROSARIO","RHU","P08025119"
"EGUIA BARANGAY HEALTH STATION",,"DOH000000000000217","01","0155","PANGASINAN","015519","DASOL","BHS",
"SAN VICENTE RURAL HEALTH UNIT",,"DOH000000000000218","08","0848","NORTHERN SAMAR","084821","SAN VICENTE","RHU",
"TORIBIA BADILLA-EVASCO MEMORIAL HEALTH CENTER","TORIBIA BADILLA-EVASCO MEMORIAL HEALTH CENTER","DOH000000000000219","07","0712","BOHOL","071232","MARIBOJOC","RHU","P07027806"
"CARAEL BARANGAY HEALTH STATION",,"DOH000000000000249","01","0155","PANGASINAN","015518","DAGUPAN CITY","BHS",
"CARAMUTAN BARANGAY HEALTH STATION",,"DOH000000000000250","01","0155","PANGASINAN","015547","VILLASIS","BHS",
"PAGAMUTANG BAYAN NG MALABON",,"DOH000000000000693","13","1375","NCR   THIRD DISTRICT","137502","CITY OF MALABON","BH",
"CENTER FOR DIALYSIS, HEALTHY LIFESTYLE, AMBULLATORY SURGERY, MATERNITY CLINIC AND NEWBORN CARE OF PASIG CITY (CHAMP)",,"DOH000000000000701","13","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU",
"TAMPARAN RURAL HEALTH UNIT","TAMPARAN RHU ","DOH000000000000808","15","1536","LANAO DEL SUR","153626","TAMPARAN","RHU","P15025840"
"CARMONA HEALTH CENTER",,"DOH000000000000809","13","1376","NCR   FOURTH DISTRICT","137602","CITY OF MAKATI","RHU",
"ALFONSO CASTAÃ‘EDA RURAL HEALTH UNIT",,"DOH000000000000810","02","0250","NUEVA VIZCAYA","025015","ALFONSO CASTAÃƒâ€šÃ‚ÂEDA","RHU",
"ALIAGA RURAL HEALTH UNIT II",,"DOH000000000000811","03","0349","NUEVA ECIJA","034901","ALIAGA","RHU",
"ALMANZA UNO HEALTH CENTER",,"DOH000000000000812","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"ALMANZA II HEALTH CENTER (T. S. CRUZ HC)",,"DOH000000000000813","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"ANA HEALTH CENTER",,"DOH000000000000814","13","1375","NCR   THIRD DISTRICT","137501","KALOOKAN CITY","RHU",
"ANGELES RURAL HEALTH UNIT IV",,"DOH000000000000815","03","0354","PAMPANGA","035401","ANGELES CITY","RHU","P03024421"
"ANTIPOLO RURAL HEALTH UNIT II",,"DOH000000000000816","04","0458","RIZAL","045802","CITY OF ANTIPOLO","RHU",
"ATANG DE LA RAMA HEALTH CENTER",,"DOH000000000000817","13","1339","MANILA, NCR,  FIRST DISTRICT","133901","TONDO","RHU",
"BAGONG POOK DIST. 1-A (SAN PABLO 1-A)",,"DOH000000000000819","04","0456","QUEZON","045624","LUCENA CITY (Capital)","RHU",
"BAGONG POOK DIST. 1-B (SAN PABLO 1-B)",,"DOH000000000000820","04","0456","QUEZON","045624","LUCENA CITY (Capital)","RHU",
"BAGONG POOK DIST. II(CONCEPCION HC)",,"DOH000000000000821","04","0456","QUEZON","045624","LUCENA CITY (Capital)","RHU",
"BAGONG POOK DISTRICT V (STO. CRISTO HC)",,"DOH000000000000822","04","0456","QUEZON","045624","LUCENA CITY (Capital)","RHU",
"BALETE RURAL HEALTH UNIT","PACITA CALIZO-CORTES HEALTH CENTER","DOH000000000000824","06","0604","AKLAN","060402","BALETE","RHU","P06024702"
"CORAZON AQUINO HEALTH CENTER",,"DOH000000000000826","13","1339","MANILA, NCR,  FIRST DISTRICT","133913","PORT AREA","RHU",
"BONGABONG RURAL HEALTH UNIT-NORTH",,"DOH000000000000827","17","1752","ORIENTAL MINDORO","175203","BONGABONG","RHU",
"RIZAL HEALTH CENTER",,"DOH000000000000828","13","1376","NCR   FOURTH DISTRICT","137602","CITY OF MAKATI","RHU",
"CAINTA RURAL HEALTH UNIT II(GRUAR)",,"DOH000000000000830","04","0458","RIZAL","045805","CAINTA","RHU","P93026479"
"CAINTA RURAL HEALTH UNIT IV (KARANGALAN)",,"DOH000000000000831","04","0458","RIZAL","045805","CAINTA","RHU",
"CALABASH HEALTH CENTER",,"DOH000000000000832","13","1339","MANILA, NCR,  FIRST DISTRICT","133906","SAMPALOC","RHU",
"CALACA RURAL HEALTH UNIT","CALACA MUNICIPAL HEALTH OFFICE ","DOH000000000000833","04","0410","BATANGAS","041007","CALACA","RHU","P42026014"
"CALAMBA CITY HEALTH OFFICE","CALAMBA CITY HEALTH OFFICE","DOH000000000000834","04","0434","LAGUNA","043405","CITY OF CALAMBA","CHO","P41025907"
"CALAPAN CITY HEALTH - NORTH SECTION","CITY HEALTH & SANITATION DEPARTMENT - NORTH SUB - OFFICE ","DOH000000000000835","17","1752","ORIENTAL MINDORO","175205","CITY OF CALAPAN (Capital)","RHU","P42026057"
"COMPOSTELA RURAL HEALTH UNIT",,"DOH000000000000836","07","0722","CEBU","072218","COMPOSTELA","RHU",
"CANDELARIA RURAL HEALTH UNIT","CANDELARIA RURAL HEALTH UNIT","DOH000000000000837","04","0456","QUEZON","045608","CANDELARIA","RHU","P41027172"
"CANUMAY WEST HEALTH CENTER","CANUMAY WEST HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","DOH000000000000838","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026184"
"CONCEPCION HEALTH CENTER","CITY GOVERNMENT OF MALABON/ CONCEPCION HEALTH CENTER","DOH000000000000839","13","1375","NCR   THIRD DISTRICT","137502","CITY OF MALABON","RHU","P91026145"
"KRUS NA LIGAS HEALTH CENTER",,"DOH000000000000840","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"DALANDANAN HEALTH CENTER","DALANDANAN HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","DOH000000000000841","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026182"
"DAPA RURAL HEALTH UNIT",,"DOH000000000000842","16","1667","SURIGAO DEL NORTE","166707","DAPA","RHU",
"DEL CARMEN RURAL HEALTH UNIT",,"DOH000000000000843","16","1667","SURIGAO DEL NORTE","166708","DEL CARMEN","RHU",
"DIMASALANG HEALTH CENTER",,"DOH000000000000844","13","1339","MANILA, NCR,  FIRST DISTRICT","133905","SANTA CRUZ","RHU","P91026233"
"DIMIAO RURAL HEALTH UNIT","RHU DIMIAO BIRTHING UNIT","DOH000000000000845","07","0712","BOHOL","071220","DIMIAO","RHU","P07024893"
"DOÃ‘A MARTA HEALTH CENTER",,"DOH000000000000846","13","1376","NCR   FOURTH DISTRICT","137605","PASAY CITY","RHU",
"POTRERO HEALTH CENTER","CITY GOVERNMENT OF MALABON/ POTRERO HEALTH CENTER","DOH000000000000847","13","1375","NCR   THIRD DISTRICT","137502","CITY OF MALABON","RHU","P91026136"
"ENGINEER'S HILL DISTRICT HEALTH CENTER",,"DOH000000000000849","14","1411","BENGUET","141102","BAGUIO CITY","RHU",
"ESPERANZA HEALTH CENTER",,"DOH000000000000850","13","1339","MANILA, NCR,  FIRST DISTRICT","133906","SAMPALOC","RHU","P91027378"
"F. LEGARDA HEALTH CENTER",,"DOH000000000000851","13","1339","MANILA, NCR,  FIRST DISTRICT","133906","SAMPALOC","RHU",
"FRANCISCO HEALTH CENTER",,"DOH000000000000852","13","1375","NCR   THIRD DISTRICT","137501","KALOOKAN CITY","RHU",
"HAGONOY HEALTH CENTER",,"DOH000000000000853","13","1376","NCR   FOURTH DISTRICT","137607","TAGUIG","RHU",
"JALA-JALA RURAL HEALTH UNIT","JALA JALA RURAL HEALTH UNIT","DOH000000000000854","04","0458","RIZAL","045807","JALA-JALA","RHU","P93026476"
"JOSE PANGANIBAN RURAL HEALTH UNIT I","RURAL HEALTH UNIT - I JOSE PANGANIBAN","DOH000000000000855","05","0516","CAMARINES NORTE","051605","JOSE PANGANIBAN","RHU","P05024569"
"KARUHATAN HEALTH CENTER","KARUHATAN HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000000857","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026178"
"LIPA CITY MAIN HEALTH CENTER (EAST DISTRICT)",,"DOH000000000000859","04","0410","BATANGAS","041014","LIPA CITY","RHU",
"LUZVIMINDA HEALTH CENTER",,"DOH000000000000860","13","1339","MANILA, NCR,  FIRST DISTRICT","133906","SAMPALOC","RHU",
"MABOLO HEALTH CENTER","MABOLO HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000000861","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026175"
"MAGSINGAL MUNICIPAL HEALTH OFFICE",,"DOH000000000000862","01","0129","ILOCOS SUR","012912","MAGSINGAL","RHU","P01024103"
"MAKATO RURAL HEALTH UNIT","DR. JOSE B. LEGASPI MEMORIAL HEALTH CENTER/ MAKATO RURAL HEALTH UNIT","DOH000000000000863","06","0604","AKLAN","060411","MAKATO","RHU","P06024692"
"MALASIQUI RURAL HEALTH UNIT II",,"DOH000000000000864","01","0155","PANGASINAN","015524","MALASIQUI","RHU",
"MANGALDAN RURAL HEALTH UNIT II",,"DOH000000000000865","01","0155","PANGASINAN","015526","MANGALDAN","RHU",
"MANOTOC HEALTH CENTER","MANOTOC HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","DOH000000000000866","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026309"
"GATCHALIAN HEALTH CENTER",,"DOH000000000000867","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"MARAWI CITY RURAL HEALTH UNIT","MARAWI CITY HEALTH OFFICE","DOH000000000000868","15","1536","LANAO DEL SUR","153617","MARAWI CITY","RHU","P15026892"
"NAUJAN RURAL HEALTH UNIT WEST",,"DOH000000000000869","17","1752","ORIENTAL MINDORO","175208","NAUJAN","RHU",
"NAVOTAS CITY HEALTH OFFICE",,"DOH000000000000870","13","1375","NCR   THIRD DISTRICT","137503","NAVOTAS","RHU",
"NEW ILALIM HEALTH CENTER",,"DOH000000000000871","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU",
"ARSENIA J. MAXIMO SUPER HEALTH CENTER",,"DOH000000000000872","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"NOVALICHES LYING-IN CLINIC",,"DOH000000000000873","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"IVC (OLANDES) HEALTH CENTER",,"DOH000000000000874","13","1374","NCR   SECOND DISTRICT","137402","CITY OF MARIKINA","RHU",
"OBLIZA HEALTH CENTER",,"DOH000000000000875","13","1376","NCR   FOURTH DISTRICT","137602","CITY OF MAKATI","RHU",
"BAGONG PAG-ASA HEALTH CENTER",,"DOH000000000000876","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"PAGAYAWAN RURAL HEALTH UNIT",,"DOH000000000000877","15","1536","LANAO DEL SUR","153620","PAGAYAWAN (TATARIKAN)","RHU",
"PALANAN HEALTH CENTER",,"DOH000000000000878","13","1376","NCR   FOURTH DISTRICT","137602","CITY OF MAKATI","RHU",
"PARADA HEALTH CENTER","PARADA HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000000879","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026166"
"BAGONG SILANG PHASE 9 HEALTH CENTER",,"DOH000000000000880","13","1375","NCR   THIRD DISTRICT","137501","KALOOKAN CITY","RHU",
"POBLACION HEALTH CENTER",,"DOH000000000000881","13","1376","NCR   FOURTH DISTRICT","137603","CITY OF MUNTINLUPA","RHU",
"PORAC RURAL HEALTH UNIT II","PORAC RURAL HEALTH UNIT II","DOH000000000000882","03","0354","PAMPANGA","035415","PORAC","RHU","P03024454"
"PROGRESO STATION HEALTH CENTER",,"DOH000000000000883","13","1374","NCR   SECOND DISTRICT","137405","SAN JUAN","BHS",
"PUALAS RURAL HEALTH UNIT",,"DOH000000000000884","15","1536","LANAO DEL SUR","153623","PUALAS","RHU",
"PUNTURIN HEALTH CENTER","PUNTURIN HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000000885","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026161"
"QUIRINO RURAL HEALTH UNIT",,"DOH000000000000886","01","0129","ILOCOS SUR","012915","QUIRINO (ANGKAKI)","RHU",
"RAMON MAGSAYSAY HEALTH CENTER",,"DOH000000000000887","13","1339","MANILA, NCR,  FIRST DISTRICT","133901","TONDO","RHU",
"ROSARIO SUPER HEALTH CENTER","CITY GOVERNMENT OF PASIG - ROSARIO HEALTH CENTER","DOH000000000000888","13","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026367"
"ROSARIO RURAL HEALTH UNIT I","ROSARIO RURAL HEALTH UNIT","DOH000000000000889","04","0410","BATANGAS","041021","ROSARIO","RHU","P42026026"
"SAN ANTONIO RURAL HEALTH UNIT II",,"DOH000000000000890","03","0349","NUEVA ECIJA","034924","SAN ANTONIO","RHU",
"BANI MAIN HEALTH CENTER II",,"DOH000000000000891","01","0155","PANGASINAN","015508","BANI","BHS",
"SAN JUAN RURAL HEALTH UNIT II",,"DOH000000000000892","04","0410","BATANGAS","041023","SAN JUAN","RHU",
"SAN MIGUEL HEALTH CENTER",,"DOH000000000000893","13","1339","MANILA, NCR,  FIRST DISTRICT","133907","SAN MIGUEL","RHU",
"SAN MIGUEL HEIGHTS HEALTH CENTER","SAN MIGUEL HEIGHTS HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","DOH000000000000894","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026158"
"SAN MIGUEL RURAL HEALTH UNIT IV (BULIRAN)","SAN MIGUEL RHU IV","DOH000000000000896","03","0314","BULACAN","031421","SAN MIGUEL","RHU","P03028945"
"SAN NICOLAS HEALTH CENTER",,"DOH000000000000897","13","1339","MANILA, NCR,  FIRST DISTRICT","133902","BINONDO","RHU",
"CAPULAAN BARANGAY HEALTH STATION",,"DOH000000000000898","01","0155","PANGASINAN","015547","VILLASIS","BHS",
"CUPANG BARANGAY HEALTH STATION",,"DOH000000000000899","01","0133","LA UNION","013317","SANTO TOMAS","BHS",
"SAN SEBASTIAN HEALTH CENTER",,"DOH000000000000901","13","1339","MANILA, NCR,  FIRST DISTRICT","133903","QUIAPO","RHU",
"SANTANDER RURAL HEALTH UNIT",,"DOH000000000000903","07","0722","CEBU","072245","SANTANDER","RHU",
"SAPI-AN RURAL HEALTH UNIT","SAPIAN RURAL HEALTH UNIT","DOH000000000000904","06","0619","CAPIZ","061915","SAPI-AN","RHU","P06024722"
"TALA HEALTH CENTER",,"DOH000000000000906","13","1375","NCR   THIRD DISTRICT","137501","KALOOKAN CITY","RHU",
"TALAVERA RURAL HEALTH UNIT II","RHU II SAN RICARDO TALAVERA","DOH000000000000907","03","0349","NUEVA ECIJA","034930","TALAVERA","RHU","P03027643"
"TALON IV HEALTH CENTER",,"DOH000000000000908","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"TALON V RURAL HEALTH UNIT (MOONWALK RURAL HEALTH UNIT )",,"DOH000000000000909","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"TANAUAN RURAL HEALTH UNIT I","TANAUAN RURAL HEALTH UNIT I","DOH000000000000910","04","0410","BATANGAS","041031","CITY OF TANAUAN","RHU","P42026016"
"TANAUAN RURAL HEALTH UNIT II","TANAUAN RURAL HEALTH UNIT II","DOH000000000000911","04","0410","BATANGAS","041031","CITY OF TANAUAN","RHU","P42026017"
"UPPER BICUTAN HEALTH CENTER",,"DOH000000000000914","13","1376","NCR   FOURTH DISTRICT","137607","TAGUIG","RHU",
"USUSAN HEALTH CENTER",,"DOH000000000000915","13","1376","NCR   FOURTH DISTRICT","137607","TAGUIG","RHU",
"VEINTE REALES HEALTH CENTER","VIENTEREALES HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","DOH000000000000916","13","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026151"
"VENTANILLA HEALTH CENTER",,"DOH000000000000917","13","1376","NCR   FOURTH DISTRICT","137605","PASAY CITY","RHU",
"VITAS HEALTH CENTER",,"DOH000000000000918","13","1339","MANILA, NCR,  FIRST DISTRICT","133901","TONDO","RHU",
"WESTERN BICUTAN HEALTH CENTER",,"DOH000000000000919","13","1376","NCR   FOURTH DISTRICT","137607","TAGUIG","RHU",
"LUNA RURAL HEALTH UNIT","LUNA RURAL HEALTH UNIT - PCB1","DOH000000000000920","14","1481","APAYAO","148105","LUNA","RHU","P13025587"
"BANGUI MUNICIPAL HEALTH OFFICE","BANGUI RURAL HEALTH UNIT","DOH000000000000921","01","0128","ILOCOS NORTE","012804","BANGUI","RHU","P01024073"
"BINMALEY RURAL HEALTH UNIT I INFIRMARY",,"DOH000000000000922","01","0155","PANGASINAN","015513","BINMALEY","RHU",
"LINGAYEN RURAL HEALTH UNIT I","LINGAYEN RURAL HEALTH UNIT I","DOH000000000000923","01","0155","PANGASINAN","015522","LINGAYEN (Capital)","RHU","P01024163"
"MANGALDAN RURAL HEALTH UNIT I",,"DOH000000000000924","01","0155","PANGASINAN","015526","MANGALDAN","RHU",
"NATIVIDAD RURAL HEALTH UNIT","NATIVIDAD RURAL HEALTH UNIT","DOH000000000000926","01","0155","PANGASINAN","015529","NATIVIDAD","RHU","P01024172"
"MUNICIPAL HEALTH OFFICE - PAGUDPUD",,"DOH000000000000927","01","0128","ILOCOS NORTE","012815","PAGUDPUD","RHU",
"PAMPLONA III HEALTH CENTER",,"DOH000000000000928","13","1376","NCR   FOURTH DISTRICT","137601","CITY OF LAS PIÃƒâ€šÃ‚ÂAS","RHU",
"TICTAPUL HEALTH CENTER",,"DOH000000000000929","09","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","BHS",
"CORAZON DE JESUS HEALTH CENTER I",,"DOH000000000000931","13","1374","NCR   SECOND DISTRICT","137405","SAN JUAN","BHS",
"SCIENCE CITY OF MUÃ‘OZ HEALTH OFFICE I",,"DOH000000000000932","03","0349","NUEVA ECIJA","034917","SCIENCE CITY OF MUÃƒâ€šÃ‚ÂOZ","CHO",
"PAYAO RURAL HEALTH UNIT","PAYAO MUNICIPAL HEALTH OFFICE","DOH000000000000933","09","0983","ZAMBOANGA SIBUGAY","098311","PAYAO","RHU","P09027011"
"AGCAGAY BARANGAY HEALTH STATION",,"DOH000000000000934","06","0619","CAPIZ","061906","JAMINDAN","BHS",
"ALIWAGWAG BARANGAY HEALTH STATION",,"DOH000000000000935","11","1125","DAVAO ORIENTAL","112505","CATEEL","BHS",
"ALOS BARANGAY HEALTH STATION",,"DOH000000000000936","01","0155","PANGASINAN","015503","CITY OF ALAMINOS","BHS",
"AMANCOSILING NORTE BARANGAY HEALTH STATION",,"DOH000000000000937","01","0155","PANGASINAN","015511","BAYAMBANG","BHS",
"AMANOAOAC HEALTH FACILITY",,"DOH000000000000938","01","0155","PANGASINAN","015528","MAPANDAN","BHS",
"AMANSABINA BARANGAY HEALTH STATION",,"DOH000000000000939","01","0155","PANGASINAN","015526","MANGALDAN","BHS",
"ANOLID BARANGAY HEALTH STATION",,"DOH000000000000940","01","0155","PANGASINAN","015524","MALASIQUI","BHS",
"APATOT BARANGAY HEALTH STATION",,"DOH000000000000941","01","0129","ILOCOS SUR","012918","SAN ESTEBAN","BHS",
"APAYA BARANGAY HEALTH STATION",,"DOH000000000000942","01","0155","PANGASINAN","015524","MALASIQUI","BHS",
"APAYA BARANGAY HEALTH CENTER",,"DOH000000000000943","01","0155","PANGASINAN","015528","MAPANDAN","BHS",
"ARAMAL BARANGAY HEALTH STATION",,"DOH000000000000944","01","0155","PANGASINAN","015533","SAN FABIAN","BHS",
"ASERDA BARANGAY HEALTH CENTER",,"DOH000000000000947","01","0155","PANGASINAN","015528","MAPANDAN","BHS",
"ASTORGA I BARANGAY HEALTH STATION",,"DOH000000000000948","11","1124","DAVAO DEL SUR","112412","SANTA CRUZ","BHS",
"BACAG BARANGAY HEALTH STATION",,"DOH000000000000949","01","0155","PANGASINAN","015547","VILLASIS","BHS",
"BAGANI TOCGO BARANGAY HEALTH STATION",,"DOH000000000000950","01","0129","ILOCOS SUR","012906","CITY OF CANDON","BHS",
"BAGASBAS BARANGAY HEALTH STATION",,"DOH000000000000951","05","0516","CAMARINES NORTE","051603","DAET (Capital)","BHS",
"BAGBAG BARANGAY HEALTH STATION",,"DOH000000000000952","01","0133","LA UNION","013307","BAUANG","BHS",
"BAGO CHIQUITO BARANGAY HEALTH STATION",,"DOH000000000000953","06","0619","CAPIZ","061909","PANAY","BHS",
"BAGUMBAYAN BARANGAY HEALTH STATION",,"DOH000000000000954","11","1125","DAVAO ORIENTAL","112507","LUPON","BHS",
"BALANGOBONG BARANGAY HEALTH STATION",,"DOH000000000000955","01","0155","PANGASINAN","015512","BINALONAN","BHS",
"BALIGANG BARANGAY HEALTH STATION",,"DOH000000000000956","05","0505","ALBAY","050502","CAMALIG","BHS",
"BALINAD BARANGAY HEALTH STATION",,"DOH000000000000957","05","0505","ALBAY","050514","POLANGUI","BHS",
"BALINGASAY BARANGAY HEALTH STATION",,"DOH000000000000958","01","0155","PANGASINAN","015514","BOLINAO","BHS",
"BANAOANG BARANGAY HEALTH STATION",,"DOH000000000000960","01","0155","PANGASINAN","015538","SANTA BARBARA","BHS",
"BANBAN BARANGAY HEALTH STATION",,"DOH000000000000961","01","0128","ILOCOS NORTE","012804","BANGUI","BHS",
"BANZAL BARANGAY HEALTH STATION",,"DOH000000000000962","01","0155","PANGASINAN","015538","SANTA BARBARA","BHS",
"BARANGAY V POB. BARANGAY HEALTH STATION",,"DOH000000000000963","05","0516","CAMARINES NORTE","051603","DAET (Capital)","BHS",
"BARAYONG BARANGAY HEALTH STATION",,"DOH000000000000964","11","1124","DAVAO DEL SUR","112407","MAGSAYSAY","BHS",
"BARIW BARANGAY HEALTH STATION",,"DOH000000000000965","05","0505","ALBAY","050502","CAMALIG","BHS",
"BASIAD BARANGAY HEALTH STATION",,"DOH000000000000966","05","0516","CAMARINES NORTE","051610","SANTA ELENA","BHS",
"BASIAO BARANGAY HEALTH STATION",,"DOH000000000000967","06","0619","CAPIZ","061905","IVISAN","BHS",
"BASUD BARANGAY HEALTH STATION",,"DOH000000000000968","05","0505","ALBAY","050514","POLANGUI","BHS",
